#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:07:33 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d67c90162fd 
#INFO -out.max=unlimited 
#INFO queryParameters=19 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/yields}&key:source=J/MNRAS/403/1413/yields&HTTPPRM:&&-ref=VIZ5d67c90162fd&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=M0&-out=Mix&-out=Z0&-out=M1&-out=El&-out=A&-out=Yield&-out=M(i)lost&-out=M(i)0&-out=<X(i)>&-out=X0(i)&-out=f&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=J/MNRAS/403/1413/yields
#-order=I
#-out=M0
#-out=Mix
#Mix=n
#-out=Z0
#Z0=0.008
#-out=M1
#-out=El
#-out=A
#-out=Yield
#-out=M(i)lost
#-out=M(i)0
#-out=<X(i)>
#-out=X0(i)
#-out=f
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table J_MNRAS_403_1413_yields:
#Name: J/MNRAS/403/1413/yields
#Title: Stellar yields
#---Details of Columns:
#    M0 (solMass)       (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Mix                (A1)    Simbad column added by the CDS [ucd=stat.param]
#    Z0                 (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)       (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                 (a4)    Species i (2) [ucd=phys.atmol.element]
#    A                  (I2)    Atomic mass of the species i [ucd=phys.mass]
#    Yield (solMass)    (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass) (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)    (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    <X(i)>             (E9.2)  Average abundance of species i in the wind (mass fraction) [ucd=phys.abund]
#    X0(i)              (E9.2)  initial mass fraction of species i (mass fraction) [ucd=phys.mass]
#    f                  (E9.2)  Production factor, f=log10(<X(i)>/X0(i)) [ucd=arith.factor]
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
#M0    M                                                                                   
#(sol  i         M1 (so         Yield     M(i)lost  M(i)0                                  
#Mass) x Z0      lMass) El   A  (solMass) (solMass) (solMass) <X(i)>    X0(i)     f        
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
 1.00 n  0.0080  0.577 g     1  3.35e-09  1.29e-08  9.59e-09  3.06e-08  2.27e-08  1.30e-01
 1.00 n  0.0080  0.577 n     1  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 p     1 -8.73e-03  3.03e-01  3.12e-01  7.16e-01  7.37e-01 -1.24e-02
 1.00 n  0.0080  0.577 D     2  1.30e-18  1.30e-18  0.00e+00  3.08e-18  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 He    3  1.35e-04  1.35e-04  0.00e+00  3.19e-04  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 He    4  8.58e-03  1.17e-01  1.08e-01  2.75e-01  2.55e-01  3.32e-02
 1.00 n  0.0080  0.577 Li    7  1.35e-10  9.24e-10  7.89e-10  2.19e-09  1.87e-09  6.87e-02
 1.00 n  0.0080  0.577 Be    7  2.58e-12  2.58e-12  0.00e+00  6.10e-12  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 B     8  1.72e-23  1.72e-23  0.00e+00  4.06e-23  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 C    12 -7.89e-05  4.34e-04  5.13e-04  1.03e-03  1.21e-03 -7.25e-02
 1.00 n  0.0080  0.577 C    13  9.46e-06  1.56e-05  6.18e-06  3.70e-05  1.46e-05  4.03e-01
 1.00 n  0.0080  0.577 C    14  7.42e-27  7.42e-27  0.00e+00  1.76e-26  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 N    13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 N    14  8.50e-05  2.72e-04  1.87e-04  6.43e-04  4.42e-04  1.63e-01
 1.00 n  0.0080  0.577 N    15 -2.14e-07  5.24e-07  7.38e-07  1.24e-06  1.75e-06 -1.49e-01
 1.00 n  0.0080  0.577 O    14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 O    15  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 O    16 -3.57e-06  1.62e-03  1.62e-03  3.83e-03  3.84e-03 -1.01e-03
 1.00 n  0.0080  0.577 O    17  3.78e-07  1.04e-06  6.58e-07  2.45e-06  1.56e-06  1.97e-01
 1.00 n  0.0080  0.577 O    18 -2.31e-07  3.44e-06  3.67e-06  8.12e-06  8.67e-06 -2.83e-02
 1.00 n  0.0080  0.577 O    19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0080  0.577 F    17  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
