#  
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-08-29T13:06:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to: cds-question@unistra.fr
# 
#   
#Coosys J2000: eq_FK5 J2000 
#INFO votable-version=1.99+ (14-Oct-2013) 
#INFO -ref=VIZ5d67c90162fd 
#INFO -out.max=unlimited 
#INFO queryParameters=19 
#-oc.form=sexa
#-out.max=unlimited
#-nav=cat:J/MNRAS/403/1413&tab:{J/MNRAS/403/1413/yields}&key:source=J/MNRAS/403/1413/yields&HTTPPRM:&&-ref=VIZ5d67c90162fd&-file=.&-oc.form=sexa&-order=I&-out.form=verb&-out=M0&-out=Mix&-out=Z0&-out=M1&-out=El&-out=A&-out=Yield&-out=M(i)lost&-out=M(i)0&-out=<X(i)>&-out=X0(i)&-out=f&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=50&-out.form=HTML Table&
#-source=J/MNRAS/403/1413/yields
#-order=I
#-out=M0
#-out=Mix
#Mix=n
#-out=Z0
#Z0=0.02
#-out=M1
#-out=El
#-out=A
#-out=Yield
#-out=M(i)lost
#-out=M(i)0
#-out=<X(i)>
#-out=X0(i)
#-out=f
#

#RESOURCE=yCat_74031413
#Name: J/MNRAS/403/1413
#Title: Updated stellar yields from AGB models (Karakas, 2010)
#Table J_MNRAS_403_1413_yields:
#Name: J/MNRAS/403/1413/yields
#Title: Stellar yields
#---Details of Columns:
#    M0 (solMass)       (F5.2)  [1/6.5] Initial mass [ucd=phys.mass]
#    Mix                (A1)    Simbad column added by the CDS [ucd=stat.param]
#    Z0                 (F7.4)  Initial metallicity [ucd=phys.abund.Z]
#    M1 (solMass)       (F6.3)  Final mass (1) [ucd=phys.mass]
#    El                 (a4)    Species i (2) [ucd=phys.atmol.element]
#    A                  (I2)    Atomic mass of the species i [ucd=phys.mass]
#    Yield (solMass)    (D9.2)  Net yield [ucd=phys.composition.yield]
#    M(i)lost (solMass) (D9.2)  Mass of species i lost in the wind [ucd=phys.mass]
#    M(i)0 (solMass)    (D9.2)  Mass of species i initially present in the wind [ucd=phys.mass]
#    <X(i)>             (E9.2)  Average abundance of species i in the wind (mass fraction) [ucd=phys.abund]
#    X0(i)              (E9.2)  initial mass fraction of species i (mass fraction) [ucd=phys.mass]
#    f                  (E9.2)  Production factor, f=log10(<X(i)>/X0(i)) [ucd=arith.factor]
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
#M0    M                                                                                   
#(sol  i         M1 (so         Yield     M(i)lost  M(i)0                                  
#Mass) x Z0      lMass) El   A  (solMass) (solMass) (solMass) <X(i)>    X0(i)     f        
#----- - ------- ------ ---- -- --------- --------- --------- --------- --------- ---------
 1.00 n  0.0200  0.564 g     1  8.18e-09  3.29e-08  2.47e-08  7.55e-08  5.67e-08  1.24e-01
 1.00 n  0.0200  0.564 n     1 -3.98e-43 -3.98e-43  0.00e+00 -9.12e-43  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 p     1 -8.10e-03  2.92e-01  3.00e-01  6.69e-01  6.88e-01 -1.19e-02
 1.00 n  0.0200  0.564 D     2  1.19e-18  1.19e-18  0.00e+00  2.72e-18  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 He    3  1.35e-04  1.35e-04  0.00e+00  3.11e-04  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 He    4  7.94e-03  1.36e-01  1.28e-01  3.11e-01  2.93e-01  2.61e-02
 1.00 n  0.0200  0.564 Li    7  1.59e-09  2.40e-09  8.13e-10  5.51e-09  1.87e-09  4.70e-01
 1.00 n  0.0200  0.564 Be    7  4.07e-12  4.07e-12  0.00e+00  9.34e-12  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 B     8  2.67e-27  2.67e-27  0.00e+00  6.12e-27  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 C    12 -1.75e-04  1.15e-03  1.32e-03  2.63e-03  3.04e-03 -6.17e-02
 1.00 n  0.0200  0.564 C    13  2.48e-05  4.07e-05  1.59e-05  9.34e-05  3.65e-05  4.08e-01
 1.00 n  0.0200  0.564 C    14  7.34e-28  7.34e-28  0.00e+00  1.68e-27  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 N    13  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 N    14  1.80e-04  6.62e-04  4.82e-04  1.52e-03  1.11e-03  1.37e-01
 1.00 n  0.0200  0.564 N    15 -5.13e-07  1.39e-06  1.90e-06  3.19e-06  4.37e-06 -1.37e-01
 1.00 n  0.0200  0.564 O    14  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 O    15  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 O    16 -1.79e-06  4.19e-03  4.19e-03  9.60e-03  9.61e-03 -2.36e-04
 1.00 n  0.0200  0.564 O    17  3.21e-07  2.02e-06  1.70e-06  4.63e-06  3.89e-06  7.53e-02
 1.00 n  0.0200  0.564 O    18 -4.23e-07  9.03e-06  9.46e-06  2.07e-05  2.17e-05 -1.99e-02
 1.00 n  0.0200  0.564 O    19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 F    17  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 F    18  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 F    19  1.85e-10  1.77e-07  1.77e-07  4.06e-07  4.06e-07  4.05e-04
 1.00 n  0.0200  0.564 F    20  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Ne   19  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Ne   20  1.07e-08  7.07e-04  7.07e-04  1.62e-03  1.62e-03 -4.35e-05
 1.00 n  0.0200  0.564 Ne   21  1.12e-09  1.80e-06  1.80e-06  4.13e-06  4.13e-06  2.21e-04
 1.00 n  0.0200  0.564 Ne   22 -1.32e-07  5.67e-05  5.68e-05  1.30e-04  1.30e-04 -1.06e-03
 1.00 n  0.0200  0.564 Ne   23  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Na   21  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Na   22  4.29e-37  4.29e-37  0.00e+00  9.84e-37  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Na   23  1.38e-07  1.47e-05  1.46e-05  3.38e-05  3.34e-05  4.04e-03
 1.00 n  0.0200  0.564 Na   24  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Mg   23  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Mg   24  3.06e-10  2.25e-04  2.25e-04  5.16e-04  5.16e-04 -4.95e-05
 1.00 n  0.0200  0.564 Mg   25 -2.57e-09  2.95e-05  2.95e-05  6.78e-05  6.78e-05 -8.78e-05
 1.00 n  0.0200  0.564 Mg   26  2.92e-09  3.39e-05  3.39e-05  7.77e-05  7.77e-05 -1.26e-05
 1.00 n  0.0200  0.564 Mg   27  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Al   25  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00
 1.00 n  0.0200  0.564 Al   26  3.60e-12  3.60e-12  0.00e+00  8.25e-12  0.00e+00  0.00e+00
