Thermal Dust sputtering Fit Results (with size and charge corrections)
======================
Polynomial Coefficients smallC grains:
f(x) = 5.740e-02x^5 + -1.973e+00x^4 + 2.689e+01x^3 + -1.823e+02x^2 + 6.174e+02x^1 + -8.461e+02x^0 

Original Data (Tgas, Yield):
3.764936e+06, 1.017208e-06
4.229243e+06, 1.136136e-06
4.750810e+06, 1.252969e-06
5.336699e+06, 1.363006e-06
5.994843e+06, 1.461922e-06
6.734151e+06, 1.545013e-06
7.564633e+06, 1.609034e-06
8.497534e+06, 1.651533e-06
9.545485e+06, 1.671183e-06
1.072267e+07, 1.668023e-06
1.204504e+07, 1.643017e-06
1.353048e+07, 1.598112e-06
1.519911e+07, 1.535954e-06
1.707353e+07, 1.459585e-06
1.917910e+07, 1.372427e-06
2.154435e+07, 1.277734e-06
2.420128e+07, 1.178700e-06
2.718588e+07, 1.077995e-06
3.053856e+07, 9.781026e-07
3.430469e+07, 8.809990e-07
3.853529e+07, 7.882201e-07
4.328761e+07, 7.008886e-07
4.862602e+07, 6.197328e-07
5.462277e+07, 5.451713e-07
6.135907e+07, 4.774164e-07
6.892612e+07, 4.162643e-07
7.742637e+07, 3.615570e-07
8.697490e+07, 3.129537e-07
9.770100e+07, 2.700221e-07
1.097499e+08, 2.323716e-07
1.232847e+08, 1.994365e-07
1.384886e+08, 1.707794e-07
1.555676e+08, 1.459279e-07
1.747528e+08, 1.244745e-07
1.963041e+08, 1.060002e-07
2.205131e+08, 9.013463e-08
2.477076e+08, 7.654255e-08
2.782559e+08, 6.492980e-08
3.125716e+08, 5.501527e-08
3.511192e+08, 4.657062e-08
3.944206e+08, 3.938306e-08
4.430621e+08, 3.328459e-08
4.977024e+08, 2.811154e-08
5.590810e+08, 2.372823e-08
6.280291e+08, 2.001766e-08
7.054802e+08, 1.688211e-08
7.924829e+08, 1.422926e-08
8.902151e+08, 1.198872e-08
1.000000e+09, 1.008776e-08
======================
Polynomial Coefficients largeC grains:
f(x) = 2.527679e-02x^5 + -9.633066e-01x^4 + 1.447841e+01x^3 + -1.076214e+02x^2 + 3.971496e+02x^1 + -5.907575e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 8.056231e-15
2.257020e+04, 3.586244e-14
2.535364e+04, 1.388836e-13
2.848036e+04, 4.744832e-13
3.199267e+04, 1.449111e-12
3.593814e+04, 4.001867e-12
4.037017e+04, 1.009730e-11
4.534879e+04, 2.346112e-11
5.094138e+04, 5.058448e-11
5.722368e+04, 1.017988e-10
6.428073e+04, 1.921042e-10
7.220809e+04, 3.411368e-10
8.111308e+04, 6.166087e-10
9.111628e+04, 1.019593e-09
1.023531e+05, 1.621035e-09
1.149757e+05, 2.487372e-09
1.291550e+05, 3.695710e-09
1.450829e+05, 5.332746e-09
1.629751e+05, 7.492864e-09
1.830738e+05, 1.027587e-08
2.056512e+05, 1.378363e-08
2.310130e+05, 1.811562e-08
2.595024e+05, 2.336108e-08
2.915053e+05, 2.959001e-08
3.274549e+05, 3.688460e-08
3.678380e+05, 4.568130e-08
4.132012e+05, 5.552705e-08
4.641589e+05, 6.667756e-08
5.214008e+05, 7.916819e-08
5.857021e+05, 9.301828e-08
6.579332e+05, 1.082262e-07
7.390722e+05, 1.247831e-07
8.302176e+05, 1.426506e-07
9.326033e+05, 1.617706e-07
1.047616e+06, 1.820532e-07
1.176812e+06, 2.033655e-07
1.321941e+06, 2.256308e-07
1.484968e+06, 2.493501e-07
1.668101e+06, 2.734535e-07
1.873817e+06, 2.981988e-07
2.104904e+06, 3.234342e-07
2.364489e+06, 3.490129e-07
2.656088e+06, 3.747849e-07
2.983647e+06, 4.006156e-07
3.351603e+06, 4.263703e-07
3.764936e+06, 4.519291e-07
4.229243e+06, 4.771641e-07
4.750810e+06, 5.019801e-07
5.336699e+06, 5.261939e-07
5.994843e+06, 5.516897e-07
6.734151e+06, 5.762901e-07
7.564633e+06, 6.012006e-07
8.497534e+06, 6.268326e-07
9.545485e+06, 6.537200e-07
1.072267e+07, 6.825979e-07
1.204504e+07, 7.142790e-07
1.353048e+07, 7.497041e-07
1.519911e+07, 7.898648e-07
1.707353e+07, 8.356894e-07
1.917910e+07, 8.879167e-07
2.154435e+07, 9.468234e-07
2.420128e+07, 1.016174e-06
2.718588e+07, 1.090848e-06
3.053856e+07, 1.171522e-06
3.430469e+07, 1.256255e-06
3.853529e+07, 1.342322e-06
4.328761e+07, 1.426344e-06
4.862602e+07, 1.504603e-06
5.462277e+07, 1.573256e-06
6.135907e+07, 1.628704e-06
6.892612e+07, 1.668068e-06
7.742637e+07, 1.689174e-06
8.697490e+07, 1.690877e-06
9.770100e+07, 1.673138e-06
1.097499e+08, 1.636623e-06
1.232847e+08, 1.583112e-06
1.384886e+08, 1.514890e-06
1.555676e+08, 1.434580e-06
1.747528e+08, 1.345286e-06
1.963041e+08, 1.249859e-06
2.205131e+08, 1.151084e-06
2.477076e+08, 1.051475e-06
2.782559e+08, 9.531277e-07
3.125716e+08, 8.579504e-07
3.511192e+08, 7.672558e-07
3.944206e+08, 6.820729e-07
4.430621e+08, 6.029924e-07
4.977024e+08, 5.304023e-07
5.590810e+08, 4.644122e-07
6.280291e+08, 4.049357e-07
7.054802e+08, 3.517536e-07
7.924829e+08, 3.044950e-07
8.902151e+08, 2.627670e-07
1.000000e+09, 2.261955e-07
======================
Polynomial Coefficients smallSil grains:
f(x) = 2.678361e-02x^5 + -9.893911e-01x^4 + 1.464948e+01x^3 + -1.088946e+02x^2 + 4.057811e+02x^1 + -6.122542e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 6.988907e-16
2.257020e+04, 3.855405e-15
2.535364e+04, 1.807289e-14
2.848036e+04, 7.298451e-14
3.199267e+04, 2.599653e-13
3.593814e+04, 8.234928e-13
4.037017e+04, 2.346797e-12
4.534879e+04, 6.076153e-12
5.094138e+04, 1.441030e-11
5.722368e+04, 3.151473e-11
6.428073e+04, 6.390630e-11
7.220809e+04, 1.207391e-10
8.111308e+04, 2.388413e-10
9.111628e+04, 4.172890e-10
1.023531e+05, 6.955663e-10
1.149757e+05, 1.109882e-09
1.291550e+05, 1.700187e-09
1.450829e+05, 2.506645e-09
1.629751e+05, 3.564701e-09
1.830738e+05, 4.901305e-09
2.056512e+05, 6.529165e-09
2.310130e+05, 8.444175e-09
2.595024e+05, 1.062417e-08
2.915053e+05, 1.302909e-08
3.274549e+05, 1.560833e-08
3.678380e+05, 1.833215e-08
4.132012e+05, 2.107878e-08
4.641589e+05, 2.379344e-08
5.214008e+05, 2.639473e-08
5.857021e+05, 2.880035e-08
6.579332e+05, 3.092949e-08
7.390722e+05, 3.270709e-08
8.302176e+05, 3.406920e-08
9.326033e+05, 3.496832e-08
1.047616e+06, 3.535430e-08
1.176812e+06, 3.526542e-08
1.321941e+06, 3.470578e-08
1.484968e+06, 3.368549e-08
1.668101e+06, 3.231513e-08
1.873817e+06, 3.064087e-08
2.104904e+06, 2.873705e-08
2.364489e+06, 2.667788e-08
2.656088e+06, 2.452543e-08
2.983647e+06, 2.235719e-08
3.351603e+06, 2.021796e-08
3.764936e+06, 1.814983e-08
4.229243e+06, 1.618469e-08
4.750810e+06, 1.434485e-08
5.336699e+06, 1.264426e-08
5.994843e+06, 1.113825e-08
6.734151e+06, 9.715139e-09
7.564633e+06, 8.448958e-09
8.497534e+06, 7.320927e-09
9.545485e+06, 6.322640e-09
1.072267e+07, 5.444352e-09
1.204504e+07, 4.675644e-09
1.353048e+07, 4.005934e-09
1.519911e+07, 3.424845e-09
1.707353e+07, 2.917198e-09
1.917910e+07, 2.485009e-09
2.154435e+07, 2.113629e-09
2.420128e+07, 1.802813e-09
2.718588e+07, 1.529487e-09
3.053856e+07, 1.296189e-09
3.430469e+07, 1.097410e-09
3.853529e+07, 9.283109e-10
4.328761e+07, 7.854555e-10
4.862602e+07, 6.634583e-10
5.462277e+07, 5.600650e-10
6.135907e+07, 4.725252e-10
6.892612e+07, 3.984732e-10
7.742637e+07, 3.358798e-10
8.697490e+07, 2.830089e-10
9.770100e+07, 2.382665e-10
1.097499e+08, 2.002773e-10
1.232847e+08, 1.685942e-10
1.384886e+08, 1.418885e-10
1.555676e+08, 1.193871e-10
1.747528e+08, 1.004347e-10
1.963041e+08, 8.447631e-11
2.205131e+08, 7.104269e-11
2.477076e+08, 5.973716e-11
2.782559e+08, 5.024449e-11
3.125716e+08, 4.223900e-11
3.511192e+08, 3.550560e-11
3.944206e+08, 2.976685e-11
4.430621e+08, 2.501755e-11
4.977024e+08, 2.102457e-11
5.590810e+08, 1.766783e-11
6.280291e+08, 1.484622e-11
7.054802e+08, 1.243126e-11
7.924829e+08, 1.044499e-11
8.902151e+08, 8.775749e-12
1.000000e+09, 7.373026e-12
======================
Polynomial Coefficients largeSil grains:
f(x) = 2.567527e-02x^5 + -9.025659e-01x^4 + 1.275799e+01x^3 + -9.132792e+01x^2 + 3.327864e+02x^1 + -5.009132e+02x^0 

Original Data (Tgas, Yield):
1.000000e+04, 0.000000e+00
1.123324e+04, 0.000000e+00
1.261857e+04, 0.000000e+00
1.417474e+04, 0.000000e+00
1.592283e+04, 0.000000e+00
1.788650e+04, 0.000000e+00
2.009233e+04, 4.767299e-16
2.257020e+04, 2.609865e-15
2.535364e+04, 1.214057e-14
2.848036e+04, 4.865113e-14
3.199267e+04, 1.721447e-13
3.593814e+04, 5.423269e-13
4.037017e+04, 1.539637e-12
4.534879e+04, 3.979375e-12
5.094138e+04, 9.443131e-12
5.722368e+04, 2.071268e-11
6.428073e+04, 4.221492e-11
7.220809e+04, 8.030264e-11
8.111308e+04, 1.731667e-10
9.111628e+04, 3.181280e-10
1.023531e+05, 5.646920e-10
1.149757e+05, 9.718559e-10
1.291550e+05, 1.625713e-09
1.450829e+05, 2.647816e-09
1.629751e+05, 4.203878e-09
1.830738e+05, 6.513254e-09
2.056512e+05, 9.854889e-09
2.310130e+05, 1.456915e-08
2.595024e+05, 2.104906e-08
2.915053e+05, 2.971283e-08
3.274549e+05, 4.115348e-08
3.678380e+05, 5.729602e-08
4.132012e+05, 7.712144e-08
4.641589e+05, 1.021967e-07
5.214008e+05, 1.334351e-07
5.857021e+05, 1.717778e-07
6.579332e+05, 2.181298e-07
7.390722e+05, 2.732671e-07
8.302176e+05, 3.377121e-07
9.326033e+05, 4.115841e-07
1.047616e+06, 4.944239e-07
1.176812e+06, 5.851327e-07
1.321941e+06, 6.818990e-07
1.484968e+06, 7.829384e-07
1.668101e+06, 8.840314e-07
1.873817e+06, 9.821234e-07
2.104904e+06, 1.073594e-06
2.364489e+06, 1.155000e-06
2.656088e+06, 1.223305e-06
2.983647e+06, 1.276306e-06
3.351603e+06, 1.312482e-06
3.764936e+06, 1.331231e-06
4.229243e+06, 1.332791e-06
4.750810e+06, 1.318122e-06
5.336699e+06, 1.288749e-06
5.994843e+06, 1.246647e-06
6.734151e+06, 1.193789e-06
7.564633e+06, 1.132553e-06
8.497534e+06, 1.065056e-06
9.545485e+06, 9.933454e-07
1.072267e+07, 9.192873e-07
1.204504e+07, 8.445324e-07
1.353048e+07, 7.705002e-07
1.519911e+07, 6.983740e-07
1.707353e+07, 6.289635e-07
1.917910e+07, 5.632749e-07
2.154435e+07, 5.017001e-07
2.420128e+07, 4.447983e-07
2.718588e+07, 3.923047e-07
3.053856e+07, 3.444752e-07
3.430469e+07, 3.012365e-07
3.853529e+07, 2.624273e-07
4.328761e+07, 2.277562e-07
4.862602e+07, 1.970857e-07
5.462277e+07, 1.700463e-07
6.135907e+07, 1.463247e-07
6.892612e+07, 1.256063e-07
7.742637e+07, 1.075835e-07
8.697490e+07, 9.196238e-08
9.770100e+07, 7.850377e-08
1.097499e+08, 6.688675e-08
1.232847e+08, 5.689521e-08
1.384886e+08, 4.833194e-08
1.555676e+08, 4.100850e-08
1.747528e+08, 3.475740e-08
1.963041e+08, 2.943082e-08
2.205131e+08, 2.489903e-08
2.477076e+08, 2.104875e-08
2.782559e+08, 1.777948e-08
3.125716e+08, 1.501041e-08
3.511192e+08, 1.266559e-08
3.944206e+08, 1.067300e-08
4.430621e+08, 8.997235e-09
4.977024e+08, 7.581588e-09
5.590810e+08, 6.386432e-09
6.280291e+08, 5.377988e-09
7.054802e+08, 4.523767e-09
7.924829e+08, 3.807413e-09
8.902151e+08, 3.203782e-09
1.000000e+09, 2.695316e-09
